Name,Server,EDBFilePath,LogFolderPath,DeletedItemRetention,GC,OAB,RetainDeletedItemsUntilBackup,IndexEnabled,CircularLoggingEnabled,ProhibitSendReceiveQuota,ProhibitSendQuota,IssueWarningQuota,AllowFileRestore,BackgroundDatabaseMaintenance,IsExcludedFromProvisioning,IsSuspendedFromProvisioning,MailboxRetention,MountAtStartup,EventHistoryRetentionPeriod,AutoDagExcludeFromMonitoring,CalendarLoggingQuota,IsExcludedFromInitialProvisioning,DataMoveReplicationConstraint,RecoverableItemsQuota,RecoverableItemsWarningQuota
"DAG1-DB034","msx-mh04","C:\ExchangeDatabases\DAG1-DB034\DAG1-DB034.db\DAG1-DB034.edb","C:\ExchangeDatabases\DAG1-DB034\DAG1-DB034.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB035","msx-mh05","C:\ExchangeDatabases\DAG1-DB035\DAG1-DB035.db\DAG1-DB035.edb","C:\ExchangeDatabases\DAG1-DB035\DAG1-DB035.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB036","msx-mh06","C:\ExchangeDatabases\DAG1-DB036\DAG1-DB036.db\DAG1-DB036.edb","C:\ExchangeDatabases\DAG1-DB036\DAG1-DB036.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB037","msx-tp01","C:\ExchangeDatabases\DAG1-DB037\DAG1-DB037.db\DAG1-DB037.edb","C:\ExchangeDatabases\DAG1-DB037\DAG1-DB037.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB038","msx-tp02","C:\ExchangeDatabases\DAG1-DB038\DAG1-DB038.db\DAG1-DB038.edb","C:\ExchangeDatabases\DAG1-DB038\DAG1-DB038.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB039","msx-tp03","C:\ExchangeDatabases\DAG1-DB039\DAG1-DB039.db\DAG1-DB039.edb","C:\ExchangeDatabases\DAG1-DB039\DAG1-DB039.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB040","msx-tp04","C:\ExchangeDatabases\DAG1-DB040\DAG1-DB040.db\DAG1-DB040.edb","C:\ExchangeDatabases\DAG1-DB040\DAG1-DB040.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB041","msx-tp05","C:\ExchangeDatabases\DAG1-DB041\DAG1-DB041.db\DAG1-DB041.edb","C:\ExchangeDatabases\DAG1-DB041\DAG1-DB041.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB042","msx-tp06","C:\ExchangeDatabases\DAG1-DB042\DAG1-DB042.db\DAG1-DB042.edb","C:\ExchangeDatabases\DAG1-DB042\DAG1-DB042.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB043","msx-mh01","C:\ExchangeDatabases\DAG1-DB043\DAG1-DB043.db\DAG1-DB043.edb","C:\ExchangeDatabases\DAG1-DB043\DAG1-DB043.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB044","msx-mh02","C:\ExchangeDatabases\DAG1-DB044\DAG1-DB044.db\DAG1-DB044.edb","C:\ExchangeDatabases\DAG1-DB044\DAG1-DB044.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB045","msx-mh03","C:\ExchangeDatabases\DAG1-DB045\DAG1-DB045.db\DAG1-DB045.edb","C:\ExchangeDatabases\DAG1-DB045\DAG1-DB045.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB046","msx-mh04","C:\ExchangeDatabases\DAG1-DB046\DAG1-DB046.db\DAG1-DB046.edb","C:\ExchangeDatabases\DAG1-DB046\DAG1-DB046.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB047","msx-mh05","C:\ExchangeDatabases\DAG1-DB047\DAG1-DB047.db\DAG1-DB047.edb","C:\ExchangeDatabases\DAG1-DB047\DAG1-DB047.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB048","msx-mh06","C:\ExchangeDatabases\DAG1-DB048\DAG1-DB048.db\DAG1-DB048.edb","C:\ExchangeDatabases\DAG1-DB048\DAG1-DB048.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB049","msx-tp01","C:\ExchangeDatabases\DAG1-DB049\DAG1-DB049.db\DAG1-DB049.edb","C:\ExchangeDatabases\DAG1-DB049\DAG1-DB049.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB050","msx-tp02","C:\ExchangeDatabases\DAG1-DB050\DAG1-DB050.db\DAG1-DB050.edb","C:\ExchangeDatabases\DAG1-DB050\DAG1-DB050.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB051","msx-tp03","C:\ExchangeDatabases\DAG1-DB051\DAG1-DB051.db\DAG1-DB051.edb","C:\ExchangeDatabases\DAG1-DB051\DAG1-DB051.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB052","msx-tp04","C:\ExchangeDatabases\DAG1-DB052\DAG1-DB052.db\DAG1-DB052.edb","C:\ExchangeDatabases\DAG1-DB052\DAG1-DB052.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB053","msx-tp05","C:\ExchangeDatabases\DAG1-DB053\DAG1-DB053.db\DAG1-DB053.edb","C:\ExchangeDatabases\DAG1-DB053\DAG1-DB053.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB054","msx-tp06","C:\ExchangeDatabases\DAG1-DB054\DAG1-DB054.db\DAG1-DB054.edb","C:\ExchangeDatabases\DAG1-DB054\DAG1-DB054.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB055","msx-mh01","C:\ExchangeDatabases\DAG1-DB055\DAG1-DB055.db\DAG1-DB055.edb","C:\ExchangeDatabases\DAG1-DB055\DAG1-DB055.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB056","msx-mh02","C:\ExchangeDatabases\DAG1-DB056\DAG1-DB056.db\DAG1-DB056.edb","C:\ExchangeDatabases\DAG1-DB056\DAG1-DB056.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
